candidate_id,rank,score,reasoning
CAND_0017093,40,0.4787,"They bring 5.9 years of engineering experience, currently working as a ML Engineer, having built systems at Zoho, Wysa. They possess expertise in Embeddings and they are currently based in Hyderabad, Telangana (actively looking; 30d notice; 58% response rate)."
CAND_0026362,41,0.4777,"They bring 5.0 years of engineering experience, currently working as a Data Scientist, having built systems at PhonePe, Ola. They possess expertise in Weaviate, Pinecone and they are currently based in Gurgaon, Haryana (actively looking; 45d notice; 40% response rate)."
CAND_0010541,42,0.4753,"They are a seasoned AI Research Engineer with 6.2 years of experience, with a background that includes roles at Wysa. Their profile highlights skills in Pinecone, Weaviate and they are located in Hyderabad, Telangana (actively looking; notice period of 60 days; response rate 59%)."
CAND_0011162,43,0.4748,"They bring 5.8 years of engineering experience, currently working as a Recommendation Systems Engineer, with a background that includes roles at upGrad, Meesho. Their profile highlights skills in FAISS, Vector Search and they are located in Coimbatore, Tamil Nadu (actively looking; notice period of 90 days; response rate 75%)."
CAND_0097176,44,0.4744,"With 5.9 years of experience, they are currently working as a ML Engineer, and a professional history at TCS, Haptik. Their profile highlights skills in FAISS and they operate out of Gurgaon, Haryana (actively looking; 30d notice; 76% response rate)."
CAND_0011327,45,0.4738,"They are a seasoned AI Research Engineer with 6.3 years of experience, having built systems at Krutrim, Razorpay. They possess expertise in Semantic Search, OpenSearch and they are currently based in Gurgaon, Haryana (actively looking; 60d notice; 79% response rate)."
CAND_0090155,46,0.4607,"They bring 5.8 years of engineering experience, currently working as a ML Engineer, and a professional history at Swiggy, InMobi. Their technical background covers Milvus, Qdrant and they are currently based in Pune, Maharashtra (actively looking; 90d notice; 64% response rate)."
CAND_0073982,47,0.4597,"They are an experienced Data Scientist with 7.0 years in software and ML engineering, having built systems at Dream11, Tech Mahindra. Key technical skills listed include Qdrant, RAG while they reside in Delhi, Delhi (actively looking; ready in 60 days; response rate 65%)."
CAND_0067866,48,0.4597,"They serve as a Senior Software Engineer (ML) with 6.4 YOE, and a professional history at Tech Mahindra, Freshworks. They possess expertise in Embeddings, Elasticsearch while they reside in Noida, Uttar Pradesh (actively looking; ready in 45 days; response rate 79%)."
CAND_0098217,49,0.4592,"They are an experienced ML Engineer with 6.4 years in software and ML engineering, having built systems at Glance, Freshworks. Key technical skills listed include FAISS, Pinecone while they reside in Noida, Uttar Pradesh (actively looking; ready in 45 days; response rate 84%)."
CAND_0081852,50,0.4556,"With 5.9 years of experience, they are currently working as a Senior Data Scientist, and a professional history at Mad Street Den, Nykaa. Their profile highlights skills in Semantic Search, Milvus and they operate out of Delhi, Delhi (actively looking; 45d notice; 44% response rate)."
CAND_0066999,51,0.4536,"They bring 5.9 years of engineering experience, currently working as a Recommendation Systems Engineer, and a professional history at Microsoft, Amazon. Listed skills include OpenSearch, FAISS and they are located in Delhi, Delhi (actively looking; ready in 15 days; response rate 63%)."
CAND_0011687,52,0.4470,"They serve as a Senior NLP Engineer with 7.8 YOE, having built systems at Niramai, Krutrim. Key technical skills listed include OpenSearch, FAISS while they reside in Indore, Madhya Pradesh (actively looking; ready in 15 days; response rate 89%)."
CAND_0098952,53,0.4464,"With 5.5 years of experience, they are currently working as a AI Research Engineer, with a background that includes roles at CRED, Rephrase.ai. Their technical background covers OpenSearch, Semantic Search and they are located in Gurgaon, Haryana (actively looking; ready in 45 days; response rate 66%)."
CAND_0036184,54,0.4342,"They are an experienced Recommendation Systems Engineer with 6.0 years in software and ML engineering, having built systems at CRED, PolicyBazaar. Key technical skills listed include FAISS, Semantic Search while they reside in Trivandrum, Kerala (actively looking; ready in 30 days; response rate 90%)."
CAND_0017590,55,0.4322,"They are a seasoned AI Research Engineer with 5.1 years of experience, with a background that includes roles at Genpact AI, Vedantu. Key technical skills listed include Weaviate, Semantic Search while they reside in Kolkata, West Bengal (actively looking; ready in 45 days; response rate 56%)."
CAND_0003841,56,0.4315,"They bring 5.0 years of engineering experience, currently working as a ML Engineer, including valuable tenure at Tech Mahindra, InMobi. Their profile highlights skills in Pinecone and they operate out of Pune, Maharashtra (actively looking; 30d notice; 71% response rate)."
CAND_0070525,57,0.4269,"They are an experienced Senior Software Engineer (ML) with 5.4 years in software and ML engineering, having built systems at Mad Street Den, Wysa. Key technical skills listed include Embeddings while they reside in Hyderabad, Telangana (actively looking; ready in 45 days; response rate 93%)."
CAND_0093193,58,0.4254,"They are a seasoned Senior Machine Learning Engineer with 7.9 years of experience, having built systems at Niramai, Netflix. Their technical background covers Qdrant, OpenSearch and they are located in Bangalore, Karnataka (actively looking; ready in 45 days; response rate 61%)."
CAND_0086022,59,0.4253,"They are a seasoned Senior Applied Scientist with 5.3 years of experience, with a background that includes roles at Sarvam AI, Uber. Key technical skills listed include Vector Search, Elasticsearch while they reside in Kolkata, West Bengal (actively looking; ready in 0 days; response rate 55%)."
CAND_0073314,60,0.4187,"They bring 5.2 years of engineering experience, currently working as a Senior Software Engineer (ML), with a background that includes roles at Aganitha, Paytm. Key technical skills listed include Milvus, Elasticsearch while they reside in Noida, Uttar Pradesh (actively looking; ready in 60 days; response rate 84%)."
CAND_0095528,61,0.4174,"They bring 5.3 years of engineering experience, currently working as a Senior Data Scientist, and a professional history at Netflix, Adobe. Listed skills include OpenSearch, Semantic Search and they are located in Indore, Madhya Pradesh (actively looking; ready in 45 days; response rate 55%)."
CAND_0010149,62,0.4109,"They are a seasoned ML Engineer with 6.9 years of experience, with a background that includes roles at Glance, InMobi. Key technical skills listed include Milvus, Vector Search while they reside in Bangalore, Karnataka (actively looking; ready in 90 days; response rate 82%)."
CAND_0046064,63,0.4101,"They are a seasoned Senior NLP Engineer with 8.9 years of experience, having built systems at Salesforce, Verloop.io. Their technical background covers Pinecone, OpenSearch and they are located in Coimbatore, Tamil Nadu (actively looking; ready in 30 days; response rate 78%)."
CAND_0071974,64,0.4091,"With 7.8 years of experience, they are currently working as a Senior AI Engineer, having built systems at Netflix, Meta. Their profile highlights skills in Weaviate, Pinecone and they are currently based in Vizag, Andhra Pradesh (actively looking; 45-day notice; response rate of 76%)."
CAND_0065195,65,0.4066,"They demonstrate strong technical expertise as a Search Engineer with a 5.1-year track record, having built systems at CRED, Google. Their profile highlights skills in Elasticsearch, Qdrant and they are currently based in Kolkata, West Bengal (actively looking; 45-day notice; response rate of 80%)."
CAND_0082086,66,0.4043,"They bring 6.0 years of engineering experience, currently working as a Senior Software Engineer (ML), and a professional history at Razorpay, Swiggy. Listed skills include FAISS, Pinecone and they are located in Delhi, Delhi (actively looking; ready in 45 days; response rate 85%)."
CAND_0052682,67,0.4038,"They bring 6.6 years of engineering experience, currently working as a NLP Engineer, and a professional history at Aganitha, Salesforce. Listed skills include Semantic Search, FAISS and they are located in Vizag, Andhra Pradesh (actively looking; ready in 30 days; response rate 88%)."
CAND_0044222,68,0.4037,"They are an experienced AI Engineer with 7.7 years in software and ML engineering, and a professional history at PolicyBazaar, InMobi. They possess expertise in Vector Search, OpenSearch while they reside in Vizag, Andhra Pradesh (actively looking; ready in 60 days; response rate 60%)."
CAND_0014440,69,0.4002,"They are an experienced Recommendation Systems Engineer with 6.4 years in software and ML engineering, and a professional history at CRED, Freshworks. They possess expertise in Elasticsearch, Milvus while they reside in Chennai, Tamil Nadu (actively looking; ready in 60 days; response rate 64%)."
CAND_0037980,70,0.3953,"They demonstrate strong technical expertise as a Senior Applied Scientist with a 9.0-year track record, and a professional history at Niramai, Verloop.io. Key technical skills listed include Information Retrieval Systems and they are currently based in Kolkata, West Bengal (actively looking; 0-day notice; response rate of 63%)."
CAND_0074731,71,0.3935,"They serve as a Data Scientist with 6.6 YOE, with a background that includes roles at InMobi, Vedantu. Their profile highlights skills in Weaviate, OpenSearch and they are currently based in Chennai, Tamil Nadu (actively looking; 60-day notice; response rate of 58%)."
CAND_0015967,72,0.3933,"They are an experienced Senior Software Engineer (ML) with 5.4 years in software and ML engineering, having built systems at Razorpay, CRED. They possess expertise in Pinecone, Semantic Search and they operate out of Hyderabad, Telangana (actively looking; 30-day notice; response rate of 45%)."
CAND_0098846,73,0.3920,"They bring 7.6 years of engineering experience, currently working as a AI Engineer, having built systems at upGrad, Meesho. Listed skills include Qdrant while they reside in Indore, Madhya Pradesh (actively looking; notice period of 45 days; response rate 62%)."
CAND_0061550,74,0.3914,"They demonstrate strong technical expertise as a ML Engineer with a 5.3-year track record, having built systems at Infosys, BYJU'S. Their profile highlights skills in Semantic Search and they are currently based in Noida, Uttar Pradesh (actively looking; 45-day notice; response rate of 60%)."
CAND_0091909,75,0.3886,"They demonstrate strong technical expertise as a Machine Learning Engineer with a 6.9-year track record, including valuable tenure at Rephrase.ai, Meta. Their technical background covers Pinecone, Qdrant and they operate out of Bangalore, Karnataka (actively looking; 45-day notice; response rate of 65%)."
CAND_0098780,76,0.3876,"They bring 5.9 years of engineering experience, currently working as a AI Research Engineer, having built systems at Zomato, Unacademy. Listed skills include Semantic Search, Milvus while they reside in Bangalore, Karnataka (actively looking; notice period of 60 days; response rate 57%)."
CAND_0010603,77,0.3872,"They serve as a ML Engineer with 5.3 YOE, including valuable tenure at BYJU'S. Listed skills include Information Retrieval, OpenSearch and they are located in Bangalore, Karnataka (actively looking; ready in 90 days; response rate 94%)."
CAND_0018094,78,0.3824,"They are an experienced ML Engineer with 5.2 years in software and ML engineering, having built systems at Mad Street Den, BYJU'S. They possess expertise in Semantic Search, Pinecone and they operate out of Bangalore, Karnataka (actively looking; 45-day notice; response rate of 69%)."
CAND_0076163,79,0.3821,"They bring 6.9 years of engineering experience, currently working as a NLP Engineer, with a background that includes roles at Ola, Zoho. They possess expertise in Weaviate, Semantic Search and they operate out of Chandigarh, Chandigarh (actively looking; 60-day notice; response rate of 84%)."
CAND_0093912,80,0.3818,"With 5.3 years of experience, they are currently working as a Senior Data Scientist, including valuable tenure at Razorpay, Flipkart. Their technical background covers Milvus, Embeddings and they operate out of Chandigarh, Chandigarh (actively looking; 30-day notice; response rate of 66%)."
CAND_0018293,81,0.3816,"With 5.6 years of experience, they are currently working as a Data Scientist, including valuable tenure at PharmEasy, Sarvam AI. Their technical background covers Weaviate, Information Retrieval and they operate out of Indore, Madhya Pradesh (actively looking; 60-day notice; response rate of 87%)."
CAND_0076251,82,0.3745,"They demonstrate strong technical expertise as a Search Engineer with a 7.6-year track record, including valuable tenure at Haptik, CRED. Their technical background covers Weaviate, Elasticsearch and they operate out of Bhubaneswar, Odisha (actively looking; 60-day notice; response rate of 51%)."
CAND_0079387,83,0.3744,"They serve as a AI Engineer with 6.9 YOE, with a background that includes roles at Microsoft, upGrad. Key technical skills listed include Vector Search, OpenSearch and they are located in Trivandrum, Kerala (actively looking; notice period of 30 days; response rate 81%)."
CAND_0033649,84,0.3739,"They demonstrate strong technical expertise as a Data Scientist with a 5.3-year track record, with a background that includes roles at Krutrim, Unacademy. Listed skills include PEFT, PyTorch while they reside in Coimbatore, Tamil Nadu (actively looking; notice period of 60 days; response rate 77%)."
CAND_0002526,85,0.3718,"They are an experienced Data Scientist with 5.4 years in software and ML engineering, having built systems at Wipro, PharmEasy. They possess expertise in Semantic Search, Embeddings and they operate out of Vizag, Andhra Pradesh (actively looking; 45-day notice; response rate of 68%)."
CAND_0086154,86,0.3703,"With 6.8 years of experience, they are currently working as a Data Scientist, with a background that includes roles at Ola, Verloop.io. Listed skills include OpenSearch, Qdrant while they reside in Ahmedabad, Gujarat (actively looking; notice period of 90 days; response rate 90%)."
CAND_0069905,87,0.3668,"With 6.6 years of experience, they are currently working as a Applied ML Engineer, having built systems at Sarvam AI, Nykaa. Key technical skills listed include Weaviate and they are located in Bhubaneswar, Odisha (actively looking; notice period of 90 days; response rate 78%)."
CAND_0088025,88,0.3661,"They serve as a Staff Machine Learning Engineer with 8.6 YOE, including valuable tenure at Yellow.ai, Niramai. Their profile highlights skills in Pinecone, RAG while they reside in Jaipur, Rajasthan (actively looking; notice period of 90 days; response rate 83%)."
CAND_0033445,89,0.3660,"They bring 6.8 years of engineering experience, currently working as a ML Engineer, having built systems at Vedantu, Niramai. Listed skills include Information Retrieval, Semantic Search while they reside in Ahmedabad, Gujarat (actively looking; notice period of 30 days; response rate 94%)."
CAND_0039383,90,0.3637,"With 7.1 years of experience, they are currently working as a Applied ML Engineer, having built systems at Meesho, Swiggy. Key technical skills listed include FAISS, Vector Search and they are located in Gurgaon, Haryana (actively looking; notice period of 90 days; response rate 61%)."
CAND_0080051,91,0.3593,"They serve as a Data Scientist with 5.2 YOE, and a professional history at Niramai. Their technical background covers Information Retrieval and they operate out of Gurgaon, Haryana (actively looking; 30-day notice; response rate of 54%)."
CAND_0025882,92,0.3592,"They serve as a Senior Software Engineer (ML) with 5.6 YOE, with a background that includes roles at Freshworks, HCL. Key technical skills listed include FAISS, Vector Search and they are located in Chennai, Tamil Nadu (actively looking; notice period of 45 days; response rate 79%)."
CAND_0010685,93,0.3586,"They are a seasoned NLP Engineer with 6.7 years of experience, and a professional history at Rephrase.ai, Microsoft. Their profile highlights skills in Information Retrieval, Elasticsearch while they reside in Kolkata, West Bengal (actively looking; notice period of 30 days; response rate 83%)."
CAND_0092255,94,0.3586,"They serve as a ML Engineer with 5.2 YOE, with a background that includes roles at InMobi, upGrad. Key technical skills listed include Weaviate, Semantic Search and they are located in Noida, Uttar Pradesh (actively looking; notice period of 60 days; response rate 38%)."
CAND_0083852,95,0.3525,"They demonstrate strong technical expertise as a Data Scientist with a 6.0-year track record, and a professional history at Mad Street Den, Dream11. They possess expertise in Qdrant, Pinecone and they are located in Ahmedabad, Gujarat (actively looking; notice period of 90 days; response rate 85%)."
CAND_0005311,96,0.3524,"They are an experienced AI Research Engineer with 5.7 years in software and ML engineering, and a professional history at Aganitha, Swiggy. Their technical background covers Semantic Search, Qdrant and they operate out of Mumbai, Maharashtra (actively looking; 30-day notice; response rate of 29%)."
CAND_0036121,97,0.3523,"With 5.2 years of experience, they are currently working as a ML Engineer, with a background that includes roles at Wysa, Wipro. Listed skills include Embeddings, Vector Search while they reside in Chennai, Tamil Nadu (actively looking; notice period of 60 days; response rate 49%)."
CAND_0082262,98,0.3518,"They are an experienced Senior Software Engineer (ML) with 5.9 years in software and ML engineering, with a background that includes roles at Wipro, Vedantu. Key technical skills listed include Weaviate and they are located in Bangalore, Karnataka (actively looking; notice period of 30 days; response rate 64%)."
CAND_0049896,99,0.3508,"They serve as a Search Engineer with 7.3 YOE, including valuable tenure at Unacademy, Flipkart. Key technical skills listed include Information Retrieval, Vector Search and they operate out of Vizag, Andhra Pradesh (actively looking; 90d notice; 43% response rate)."
CAND_0052706,100,0.3488,"They bring 5.1 years of engineering experience, currently working as a AI Research Engineer, including valuable tenure at Swiggy, Genpact AI. They possess expertise in Pinecone, Information Retrieval and they are located in Coimbatore, Tamil Nadu (actively looking; notice period of 60 days; response rate 79%)."
